metric,value
model_load_total_s,32.89363620011136
model_load_gguf_model_load_s,1.7088977999519557
model_load_embedding_load_s,0.4129113000817597
model_load_cross_encoder_load_s,0.18697969987988472
model_load_total_s,2.3087887999136
ingest_avg_s,4.475575080001727
ingest_faiss_avg_s,1.8769731000065804
summary_avg_s,44.10265451995656
summary_tokens_per_sec_avg,7.5456231676696435
qa_avg_s,12.740606331097862
qa_median_s,12.746688200160861
qa_p95_s,16.615503239957615
qa_max_s,19.339004800189286
qa_retrieval_avg_s,1.3743660241879265
qa_llm_inference_avg_s,11.366240306909935
qa_tokens_per_sec_avg,5.793786275470631
total_benchmark_time_s,645.3456184000243
total_questions,29
total_documents,5
benchmark_date,2026-04-26T22:57:58.557898
platform,Windows-10-10.0.26200-SP0
